"filename", "language", "Markdown", "Go", "comment", "blank", "total"
"/Users/qujiale/code/sonar/6/mpgw/binding/binding.go", "Go", 0, -78, -31, -15, -124
"/Users/qujiale/code/sonar/6/mpgw/binding/binding_msgpack_test.go", "Go", 0, -41, -4, -13, -58
"/Users/qujiale/code/sonar/6/mpgw/binding/binding_nomsgpack.go", "Go", 0, -73, -30, -15, -118
"/Users/qujiale/code/sonar/6/mpgw/binding/binding_test.go", "Go", 0, -1164, -12, -238, -1414
"/Users/qujiale/code/sonar/6/mpgw/binding/default_validator.go", "Go", 0, -72, -10, -14, -96
"/Users/qujiale/code/sonar/6/mpgw/binding/default_validator_benchmark_test.go", "Go", 0, -20, -3, -6, -29
"/Users/qujiale/code/sonar/6/mpgw/binding/default_validator_test.go", "Go", 0, -81, -3, -5, -89
"/Users/qujiale/code/sonar/6/mpgw/binding/form.go", "Go", 0, -48, -3, -12, -63
"/Users/qujiale/code/sonar/6/mpgw/binding/form_mapping.go", "Go", 0, -363, -13, -64, -440
"/Users/qujiale/code/sonar/6/mpgw/binding/form_mapping_benchmark_test.go", "Go", 0, -54, -3, -11, -68
"/Users/qujiale/code/sonar/6/mpgw/binding/form_mapping_test.go", "Go", 0, -407, -18, -87, -512
"/Users/qujiale/code/sonar/6/mpgw/binding/header.go", "Go", 0, -24, -3, -12, -39
"/Users/qujiale/code/sonar/6/mpgw/binding/json.go", "Go", 0, -36, -10, -11, -57
"/Users/qujiale/code/sonar/6/mpgw/binding/json_test.go", "Go", 0, -22, -3, -6, -31
"/Users/qujiale/code/sonar/6/mpgw/binding/msgpack.go", "Go", 0, -24, -4, -10, -38
"/Users/qujiale/code/sonar/6/mpgw/binding/msgpack_test.go", "Go", 0, -24, -4, -7, -35
"/Users/qujiale/code/sonar/6/mpgw/binding/multipart_form_mapping.go", "Go", 0, -58, -6, -11, -75
"/Users/qujiale/code/sonar/6/mpgw/binding/multipart_form_mapping_test.go", "Go", 0, -113, -3, -23, -139
"/Users/qujiale/code/sonar/6/mpgw/binding/plain.go", "Go", 0, -43, 0, -14, -57
"/Users/qujiale/code/sonar/6/mpgw/binding/protobuf.go", "Go", 0, -28, -6, -8, -42
"/Users/qujiale/code/sonar/6/mpgw/binding/query.go", "Go", 0, -13, -3, -6, -22
"/Users/qujiale/code/sonar/6/mpgw/binding/toml.go", "Go", 0, -24, -3, -9, -36
"/Users/qujiale/code/sonar/6/mpgw/binding/toml_test.go", "Go", 0, -15, -3, -5, -23
"/Users/qujiale/code/sonar/6/mpgw/binding/uri.go", "Go", 0, -11, -3, -5, -19
"/Users/qujiale/code/sonar/6/mpgw/binding/validate_test.go", "Go", 0, -181, -22, -50, -253
"/Users/qujiale/code/sonar/6/mpgw/binding/xml.go", "Go", 0, -24, -3, -7, -34
"/Users/qujiale/code/sonar/6/mpgw/binding/xml_test.go", "Go", 0, -18, -3, -5, -26
"/Users/qujiale/code/sonar/6/mpgw/binding/yaml.go", "Go", 0, -24, -3, -9, -36
"/Users/qujiale/code/sonar/6/mpgw/binding/yaml_test.go", "Go", 0, -14, -3, -5, -22
"/Users/qujiale/code/sonar/6/mpgw/docs/doc.md", "Markdown", 1826, 0, 0, 508, 2334
"Total", "-", 1826, -3097, -215, -175, -1661